11201,332.03845
11203,914.8077
11204,997.96155
11205,353.23077
11206,693.8461
11207,866.38464
11209,540.38464
11210,834.0
11211,1060.4615
11212,763.0769
11213,718.1923
11214,692.61536
11215,316.69232
11216,344.0
11217,281.84616
11218,846.5769
11219,1476.4231
11220,702.88464
11221,576.7692
11222,220.5
11223,807.2692
11224,447.3846
11225,579.03845
11226,923.4231
11228,312.96155
11229,742.03845
11230,1176.9615
11231,217.96153
11232,241.76923
11233,556.6539
11234,1087.8077
11235,867.1539
11236,1233.4231
11237,407.0
11238,390.57693
11239,234.0

