11201,375.34784
11203,1034.1305
11204,1128.1305
11205,399.30435
11206,784.34784
11207,979.3913
11209,610.86957
11210,942.7826
11211,1198.7826
11212,862.6087
11213,811.86957
11214,782.95654
11215,358.0
11216,388.86957
11217,318.6087
11218,957.0
11219,1669.0
11220,794.56525
11221,652.0
11222,249.26086
11223,912.56525
11224,505.73914
11225,654.56525
11226,1043.8695
11228,353.78262
11229,838.8261
11230,1330.4783
11231,246.39131
11232,273.30435
11233,629.26086
11234,1229.6957
11235,980.26086
11236,1394.3043
11237,460.08694
11238,441.52173
11239,247.65218

